SH,DOD_SOL,DOD_MOL,DOD_NAN,SOL_SIL,SOL_MOL,SIL_MOL,SIL_NAN,MOL_NAN,SOL_NAN,SIL_DOD,d_DOD_SIL,rdf_peaks,rdf_dist,Frac_det,Surf_length,Nano_hydro
0,-3015.193959,-2082.840781,-132.3466094,-112729.6921,-7578.356286,-1724.537763,-53776.7657,-756.1483557,-4212.313878,-17.39695327,-18.78094076,1.41,3.57,0.69,3,0
0,-3188.197113,-1964.187375,-263.5704939,-112821.3507,-8005.210644,-1526.882049,-44901.39211,-301.8957599,-3770.525177,0.126797698,-1.257189794,1.325,3.706,0.85,3,25
0,-2830.23495,-1866.889675,-348.8249622,-114924.6134,-7984.971516,-1618.940756,-35725.62623,-531.6706102,-3001.454626,1.977084,0.593096508,1.337,3.556,0.78,3,50
0,-3237.448726,-2048.532241,-357.6774363,-114131.6696,-7882.88287,-2005.260598,-27097.81505,-259.7790312,-2867.353841,-26.85093425,-28.23492174,1.431,3.322,0.67,3,75
0,-2884.03761,-1947.445001,-295.6987666,-114938.5579,-8265.680904,-1533.482469,-18714.72609,-210.2377988,-2462.791993,-14.7296619,-16.11364939,1.412,3.578,0.75,3,100
0,-3267.401222,-1750.647665,-88.712388,-112610.6092,-7848.717198,-1283.331591,-53869.73235,-616.3056353,-4264.991655,-13.69149466,-15.07548215,1.401,3.718,0.65,4,0
0,-3448.845248,-2073.944888,-171.0304399,-113533.5834,-7400.650619,-1480.005323,-44732.84338,-549.764292,-3765.596239,6.119434762,4.73544727,1.403,3.594,0.77,4,25
0,-2756.794729,-2222.655802,-256.2404917,-114756.8018,-7446.090281,-1352.622326,-35710.49228,-669.3295151,-2797.221713,-16.78374291,-18.1677304,1.387,3.568,0.83,4,50
0,-3010.987572,-2063.148835,-367.0632927,-114382.3481,-7649.586938,-1493.792866,-27097.07535,-358.2569342,-2809.812994,-18.36515794,-19.74914544,1.327,3.62,0.77,4,75
0,-2675.339789,-2230.516069,-427.6610249,-115767.7343,-7824.87666,-1394.817229,-18721.16265,-306.8882952,-2325.587472,-8.795418865,-10.17940636,1.348,3.576,0.78,4,100
0,-2553.440215,-9.264780975,-101.3842695,-118629.8526,-43129.09492,13872.14446,-53700.87248,-498.0097722,-4694.137017,16.01024554,14.62625805,1.01,5.408,1,5,0
0,-2516.818458,-13.65778919,-281.3260469,-120184.9592,-43693.80082,13641.71513,-44674.03479,-711.1962931,-3739.097309,22.79313967,21.40915218,1.005,5.598,1,5,25
0,-2848.79972,-10.47866415,-377.3483362,-118274.3299,-43034.32954,13602.50316,-35653.54057,-514.0373397,-3236.150929,16.57875475,15.19476725,1.036,4.716,0.97,5,50
